Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,4,"10,000",120 to 130,"1,300 to 1,400",Sep-25
SEASIDE RESIDENCES,SIGLAP LINK,15,Non-Landed Properties,2,"4,300",60 to 70,600 to 700,Sep-25
HILLINGTON GREEN,HILLVIEW AVENUE,23,Non-Landed Properties,3,"5,200",120 to 130,"1,300 to 1,400",Sep-25
SEASCAPE,COVE WAY,04,Non-Landed Properties,3,"11,300",200 to 210,"2,100 to 2,200",Sep-25
TIERRA VUE,ST. PATRICK'S ROAD,15,Non-Landed Properties,3,"5,850",140 to 150,"1,500 to 1,600",Sep-25
THE DAFFODIL,UPPER EAST COAST ROAD,16,Non-Landed Properties,2,"4,000",90 to 100,"1,000 to 1,100",Sep-25
BOULEVARD 88,ORCHARD BOULEVARD,10,Non-Landed Properties,2,"9,360",120 to 130,"1,300 to 1,400",Sep-25
CITY SQUARE RESIDENCES,KITCHENER LINK,08,Non-Landed Properties,3,"6,100",110 to 120,"1,200 to 1,300",Sep-25
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,19,Non-Landed Properties,1,"2,800",50 to 60,500 to 600,Sep-25
OLEANDER TOWERS,LORONG 1 TOA PAYOH,12,Non-Landed Properties,3,"4,500",100 to 110,"1,100 to 1,200",Sep-25
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,2,"4,650",80 to 90,800 to 900,Sep-25
GRANDEUR 8,ANG MO KIO CENTRAL 3,20,Non-Landed Properties,3,"5,200",110 to 120,"1,200 to 1,300",Sep-25
COUNTRY GRANDEUR,LORONG PUNTONG,20,Non-Landed Properties,3,"4,000",130 to 140,"1,400 to 1,500",Sep-25
KI RESIDENCES AT BROOKVALE,BROOKVALE DRIVE,21,Non-Landed Properties,3,"4,900",80 to 90,"900 to 1,000",Sep-25
ESPADA,ST. THOMAS WALK,09,Non-Landed Properties,1,"3,900",60 to 70,600 to 700,Sep-25
LE QUEST,BUKIT BATOK STREET 41,23,Non-Landed Properties,3,"5,500",90 to 100,"900 to 1,000",Sep-25
WHITEHAVEN,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"4,850",70 to 80,700 to 800,Sep-25
STRATA,ESSEX ROAD,11,Non-Landed Properties,2,"4,200",70 to 80,800 to 900,Sep-25
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,1,"3,350",50 to 60,500 to 600,Sep-25
OLEANAS RESIDENCE,KIM YAM ROAD,09,Non-Landed Properties,3,"5,300",100 to 110,"1,100 to 1,200",Sep-25
SOPHIA RESIDENCE,SOPHIA ROAD,09,Non-Landed Properties,4,"9,000",170 to 180,"1,800 to 1,900",Sep-25
KERRISDALE,STURDEE ROAD,08,Non-Landed Properties,3,"5,700",110 to 120,"1,200 to 1,300",Sep-25
YISHUN SAPPHIRE,CANBERRA DRIVE,27,Non-Landed Properties,2,"3,000",90 to 100,"1,000 to 1,100",Sep-25
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,2,"4,400",50 to 60,600 to 700,Sep-25
1953,TESSENSOHN ROAD,08,Non-Landed Properties,1,"3,850",50 to 60,600 to 700,Sep-25
28 SHELFORD,SHELFORD ROAD,11,Non-Landed Properties,2,"4,000",70 to 80,800 to 900,Sep-25
PARK PLACE RESIDENCES AT PLQ,PAYA LEBAR ROAD,14,Non-Landed Properties,3,"6,400",100 to 110,"1,000 to 1,100",Sep-25
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"5,000",60 to 70,600 to 700,Sep-25
ECO SANCTUARY,CHESTNUT AVENUE,23,Non-Landed Properties,3,"5,800",100 to 110,"1,100 to 1,200",Sep-25
ELIAS GREEN,ELIAS GREEN,18,Non-Landed Properties,NA,"4,000",140 to 150,"1,500 to 1,600",Sep-25
PASIR RIS 8,PASIR RIS DRIVE 8,18,Non-Landed Properties,2,"4,400",70 to 80,700 to 800,Sep-25
RIVIERE,JIAK KIM STREET,03,Non-Landed Properties,3,"9,000",100 to 110,"1,100 to 1,200",Sep-25
PASIR RIS 8,PASIR RIS DRIVE 8,18,Non-Landed Properties,2,"4,400",70 to 80,700 to 800,Sep-25
THE RED HOUSE,EAST COAST ROAD,15,Non-Landed Properties,1,"3,000",60 to 70,700 to 800,Sep-25
PASIR RIS 8,PASIR RIS DRIVE 8,18,Non-Landed Properties,2,"4,400",70 to 80,700 to 800,Sep-25
PARC CENTROS,PUNGGOL CENTRAL,19,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Sep-25
MARINA BAY SUITES,CENTRAL BOULEVARD,01,Non-Landed Properties,4,"16,500",240 to 250,"2,600 to 2,700",Sep-25
THE PALETTE,PASIR RIS GROVE,18,Non-Landed Properties,2,"3,200",70 to 80,700 to 800,Sep-25
THE M,MIDDLE ROAD,07,Non-Landed Properties,1,"4,650",40 to 50,500 to 600,Sep-25
WATERFRONT ISLE,BEDOK RESERVOIR ROAD,16,Non-Landed Properties,3,"5,400",110 to 120,"1,200 to 1,300",Sep-25
LE QUEST,BUKIT BATOK STREET 41,23,Non-Landed Properties,NA,"2,800",40 to 50,400 to 500,Sep-25
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,1,"3,800",40 to 50,400 to 500,Sep-25
GARDENVISTA,DUNEARN ROAD,21,Non-Landed Properties,2,"4,300",80 to 90,800 to 900,Sep-25
CHANGI GREEN,UPPER CHANGI ROAD EAST,16,Non-Landed Properties,2,"3,700",90 to 100,"1,000 to 1,100",Sep-25
ARCHIPELAGO,BEDOK RESERVOIR ROAD,16,Non-Landed Properties,3,"5,500",110 to 120,"1,100 to 1,200",Sep-25
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,3,"10,000",140 to 150,"1,500 to 1,600",Sep-25
MI CASA,CHOA CHU KANG AVENUE 3,23,Non-Landed Properties,3,"4,200",110 to 120,"1,200 to 1,300",Sep-25
A TREASURE TROVE,PUNGGOL WALK,19,Non-Landed Properties,3,"5,000",100 to 110,"1,100 to 1,200",Sep-25
ONE PEARL BANK,PEARL BANK,03,Non-Landed Properties,2,"5,200",60 to 70,600 to 700,Sep-25
SUNSTONE HILL,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"4,600",70 to 80,800 to 900,Sep-25
THE RISE @ OXLEY - RESIDENCES,OXLEY RISE,09,Non-Landed Properties,2,"4,200",60 to 70,600 to 700,Sep-25
TREASURE AT TAMPINES,TAMPINES LANE,18,Non-Landed Properties,2,"3,700",60 to 70,600 to 700,Sep-25
EAST VIEW 18,RAMBUTAN ROAD,15,Non-Landed Properties,3,"4,300",100 to 110,"1,100 to 1,200",Sep-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,1,"3,400",40 to 50,500 to 600,Sep-25
ESPADA,ST. THOMAS WALK,09,Non-Landed Properties,1,"3,200",40 to 50,400 to 500,Sep-25
EMERALD GARDEN,CLUB STREET,01,Non-Landed Properties,3,"6,500",110 to 120,"1,200 to 1,300",Sep-25
WATERFRONT ISLE,BEDOK RESERVOIR ROAD,16,Non-Landed Properties,1,"3,300",50 to 60,600 to 700,Sep-25
SUNDANCE SUITES,DUKU PLACE,15,Non-Landed Properties,1,"3,100",50 to 60,500 to 600,Sep-25
THE SCOTTS TOWER,SCOTTS ROAD,09,Non-Landed Properties,1,"4,300",60 to 70,600 to 700,Sep-25
SANCTUARY GREEN,TANJONG RHU ROAD,15,Non-Landed Properties,2,"3,900",70 to 80,800 to 900,Sep-25
SOHO 188,RACE COURSE ROAD,08,Non-Landed Properties,1,"2,700",40 to 50,400 to 500,Sep-25
ARDMORE II,ARDMORE PARK,10,Non-Landed Properties,4,"16,500",180 to 190,"2,000 to 2,100",Sep-25
10 SHELFORD,SHELFORD ROAD,11,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Sep-25
# 1 LOFT,LORONG 24 GEYLANG,14,Non-Landed Properties,1,"3,200",50 to 60,500 to 600,Sep-25
CUSCADEN RESIDENCES,CUSCADEN ROAD,10,Non-Landed Properties,3,"8,500",130 to 140,"1,400 to 1,500",Sep-25
LOYANG GARDENS,JALAN LOYANG BESAR,17,Non-Landed Properties,NA,"4,000",120 to 130,"1,300 to 1,400",Sep-25
DUNEARN SUITES,DUNEARN ROAD,11,Non-Landed Properties,2,"3,900",70 to 80,700 to 800,Sep-25
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-Landed Properties,3,"11,000",310 to 320,"3,300 to 3,400",Sep-25
PARC VERA,HOUGANG STREET 32,19,Non-Landed Properties,2,"3,300",70 to 80,700 to 800,Sep-25
DELFI ORCHARD,ORCHARD ROAD,09,Non-Landed Properties,2,"5,100",120 to 130,"1,200 to 1,300",Sep-25
SOUTHAVEN I,HINDHEDE WALK,21,Non-Landed Properties,3,"4,500",120 to 130,"1,300 to 1,400",Sep-25
COCO PALMS,PASIR RIS GROVE,18,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Sep-25
THE SPRINGBLOOM,SERANGOON AVENUE 3,19,Non-Landed Properties,4,"6,000",150 to 160,"1,600 to 1,700",Sep-25
MAYFAIR GARDENS,RIFLE RANGE ROAD,21,Non-Landed Properties,2,"4,800",60 to 70,700 to 800,Sep-25
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,4,"13,000",190 to 200,"2,100 to 2,200",Sep-25
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,10,Non-Landed Properties,1,"3,600",40 to 50,500 to 600,Sep-25
CYAN,KENG CHIN ROAD,10,Non-Landed Properties,3,"9,200",130 to 140,"1,400 to 1,500",Sep-25
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,2,"6,700",100 to 110,"1,100 to 1,200",Sep-25
STURDEE RESIDENCES,BEATTY ROAD,08,Non-Landed Properties,1,"3,200",30 to 40,400 to 500,Sep-25
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,3,"9,200",140 to 150,"1,500 to 1,600",Sep-25
ALLSWORTH PARK,HOLLAND ROAD,10,Non-Landed Properties,3,"6,350",180 to 190,"1,900 to 2,000",Sep-25
LAKEVILLE,JURONG LAKE LINK,22,Non-Landed Properties,4,"7,200",130 to 140,"1,400 to 1,500",Sep-25
ONE AMBER,AMBER GARDENS,15,Non-Landed Properties,1,"3,400",50 to 60,500 to 600,Sep-25
19 NASSIM,NASSIM HILL,10,Non-Landed Properties,2,"7,700",70 to 80,800 to 900,Sep-25
JERVOIS VIEW,JERVOIS ROAD,10,Non-Landed Properties,3,"11,500",230 to 240,"2,400 to 2,500",Sep-25
REGENT HEIGHTS,BUKIT BATOK EAST AVENUE 5,23,Non-Landed Properties,2,"3,400",90 to 100,"1,000 to 1,100",Sep-25
TERESA VILLE,LOWER DELTA ROAD,04,Non-Landed Properties,2,"4,800",120 to 130,"1,300 to 1,400",Sep-25
LIVINGSTON MANSIONS,LORONG L TELOK KURAU,15,Non-Landed Properties,3,"5,300",140 to 150,"1,500 to 1,600",Sep-25
JARDIN,DUNEARN ROAD,21,Non-Landed Properties,2,"4,600",100 to 110,"1,000 to 1,100",Sep-25
RIVIERA RESIDENCES,RIVIERA DRIVE,16,Non-Landed Properties,2,"4,550",90 to 100,"1,000 to 1,100",Sep-25
LIBERTE,SARKIES ROAD,10,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Sep-25
ATRIUM RESIDENCES,LORONG 28 GEYLANG,14,Non-Landed Properties,3,"4,600",90 to 100,"1,000 to 1,100",Sep-25
LIV ON WILKIE,WILKIE TERRACE,09,Non-Landed Properties,2,"3,000",50 to 60,500 to 600,Sep-25
WILMER HOUSE,ST. THOMAS WALK,09,Non-Landed Properties,3,"7,500",170 to 180,"1,800 to 1,900",Sep-25
SIMS URBAN OASIS,SIMS DRIVE,14,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Sep-25
PALM SPRING,EWE BOON ROAD,10,Non-Landed Properties,3,"7,800",170 to 180,"1,800 to 1,900",Sep-25
BEVERLY HILL,GRANGE ROAD,10,Non-Landed Properties,NA,"16,300",350 to 360,"3,700 to 3,800",Sep-25
PARC EMILY,MOUNT EMILY ROAD,09,Non-Landed Properties,1,"3,700",50 to 60,500 to 600,Sep-25
8 BASSEIN,BASSEIN ROAD,11,Non-Landed Properties,3,"4,280",80 to 90,800 to 900,Sep-25
EQUATORIAL APARTMENTS,MEYER ROAD,15,Non-Landed Properties,4,"5,800",230 to 240,"2,400 to 2,500",Sep-25
SCOTTS 28,SCOTTS ROAD,09,Non-Landed Properties,3,"8,000",150 to 160,"1,600 to 1,700",Sep-25
TALIB CENTRE,PURVIS STREET,07,Non-Landed Properties,NA,"3,300",70 to 80,700 to 800,Sep-25
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,4,"9,300",140 to 150,"1,500 to 1,600",Sep-25
SUITES @ EASTCOAST,UPPER EAST COAST ROAD,15,Non-Landed Properties,1,"2,550",30 to 40,300 to 400,Sep-25
BOATHOUSE RESIDENCES,UPPER SERANGOON VIEW,19,Non-Landed Properties,2,"3,950",70 to 80,800 to 900,Sep-25
THE PROMENADE@PELIKAT,JALAN PELIKAT,19,Non-Landed Properties,2,"2,800",70 to 80,800 to 900,Sep-25
8 SAINT THOMAS,ST. THOMAS WALK,09,Non-Landed Properties,2,"7,900",90 to 100,"1,000 to 1,100",Sep-25
COSTA RHU,RHU CROSS,15,Non-Landed Properties,4,"9,800",200 to 210,"2,200 to 2,300",Sep-25
THE SHELFORD,SHELFORD ROAD,11,Non-Landed Properties,1,"3,800",60 to 70,700 to 800,Sep-25
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"8,200",120 to 130,"1,300 to 1,400",Sep-25
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"3,200",60 to 70,600 to 700,Sep-25
THE ARCADIA,ARCADIA ROAD,11,Non-Landed Properties,4,"12,000",350 to 360,"3,700 to 3,800",Sep-25
DUCHESS RESIDENCES,DUCHESS AVENUE,10,Non-Landed Properties,4,"11,500",250 to 260,"2,700 to 2,800",Sep-25
SKY VUE,BISHAN STREET 15,20,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Sep-25
KING'S MANSION,AMBER ROAD,15,Non-Landed Properties,4,"11,000",250 to 260,"2,700 to 2,800",Sep-25
SIMSVILLE,GEYLANG EAST AVENUE 2,14,Non-Landed Properties,2,"4,200",90 to 100,"900 to 1,000",Sep-25
COSTA DEL SOL,BAYSHORE ROAD,16,Non-Landed Properties,4,"7,000",130 to 140,"1,400 to 1,500",Sep-25
PARC OASIS,JURONG EAST AVENUE 1,22,Non-Landed Properties,3,"4,700",110 to 120,"1,200 to 1,300",Sep-25
MI CASA,CHOA CHU KANG AVENUE 3,23,Non-Landed Properties,4,"4,600",120 to 130,"1,300 to 1,400",Sep-25
THE PEAK@BALMEG,BALMEG HILL,05,Non-Landed Properties,5,"10,000",230 to 240,"2,500 to 2,600",Sep-25
BEDOK RESIDENCES,BEDOK NORTH DRIVE,16,Non-Landed Properties,1,"3,500",50 to 60,500 to 600,Sep-25
RIVERWALK APARTMENTS,UPPER CIRCULAR ROAD,01,Non-Landed Properties,NA,"3,700",70 to 80,800 to 900,Sep-25
SARKIES GARDENS,SARKIES ROAD,10,Non-Landed Properties,NA,"4,800",100 to 110,"1,100 to 1,200",Sep-25
MY MANHATTAN,SIMEI STREET 3,18,Non-Landed Properties,2,"4,400",100 to 110,"1,100 to 1,200",Sep-25
ICON,GOPENG STREET,02,Non-Landed Properties,1,"4,200",50 to 60,500 to 600,Sep-25
SUNBIRD VIEW,SUNBIRD ROAD,16,Non-Landed Properties,NA,"4,000",120 to 130,"1,300 to 1,400",Sep-25
GRANGE HEIGHTS,ST. THOMAS WALK,09,Non-Landed Properties,4,"9,000",250 to 260,"2,700 to 2,800",Sep-25
PARKSHORE,TANJONG RHU ROAD,15,Non-Landed Properties,3,"6,600",150 to 160,"1,600 to 1,700",Sep-25
TREASURE AT TAMPINES,TAMPINES LANE,18,Non-Landed Properties,1,"2,600",40 to 50,400 to 500,Sep-25
MAYSPRINGS,PETIR ROAD,23,Non-Landed Properties,3,"4,300",120 to 130,"1,300 to 1,400",Sep-25
THE WATERGARDENS AT CANBERRA,CANBERRA DRIVE,27,Non-Landed Properties,2,"3,000",60 to 70,600 to 700,Sep-25
ST THOMAS SUITES,ST. THOMAS WALK,09,Non-Landed Properties,3,"9,850",160 to 170,"1,800 to 1,900",Sep-25
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,1,"2,700",40 to 50,500 to 600,Sep-25
RIVERVALE CREST,RIVERVALE CRESCENT,19,Non-Landed Properties,1,"3,350",80 to 90,"900 to 1,000",Sep-25
THE SUMMIT,UPPER EAST COAST ROAD,16,Non-Landed Properties,2,"3,700",70 to 80,800 to 900,Sep-25
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,05,Non-Landed Properties,2,"6,200",120 to 130,"1,300 to 1,400",Sep-25
NOTTINGHILL SUITES,TOH TUCK ROAD,21,Non-Landed Properties,1,"2,800",30 to 40,300 to 400,Sep-25
TIONG BAHRU ESTATE,TIONG POH ROAD,03,Non-Landed Properties,NA,"5,800",80 to 90,800 to 900,Sep-25
FABER CREST,FABER HEIGHTS,05,Non-Landed Properties,4,"5,500",190 to 200,"2,000 to 2,100",Sep-25
DOUBLE BAY RESIDENCES,SIMEI STREET 4,18,Non-Landed Properties,2,"3,800",80 to 90,"900 to 1,000",Sep-25
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,2,"8,300",100 to 110,"1,100 to 1,200",Sep-25
THE SCALA,SERANGOON AVENUE 3,19,Non-Landed Properties,1,"3,050",40 to 50,400 to 500,Sep-25
THE NAUTICAL,JALAN SENDUDOK,27,Non-Landed Properties,3,"3,900",90 to 100,"1,000 to 1,100",Sep-25
CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,03,Non-Landed Properties,2,"4,200",80 to 90,"900 to 1,000",Sep-25
PARC ROSEWOOD,ROSEWOOD DRIVE,25,Non-Landed Properties,2,"3,400",50 to 60,600 to 700,Sep-25
MELVILLE PARK,SIMEI STREET 1,18,Non-Landed Properties,2,"3,500",80 to 90,"900 to 1,000",Sep-25
KOVAN MELODY,KOVAN ROAD,19,Non-Landed Properties,3,"5,100",110 to 120,"1,200 to 1,300",Sep-25
RIVERSAILS,UPPER SERANGOON CRESCENT,19,Non-Landed Properties,2,"3,400",70 to 80,800 to 900,Sep-25
THE TAPESTRY,TAMPINES STREET 86,18,Non-Landed Properties,2,"4,600",60 to 70,700 to 800,Sep-25
ORCHARD SCOTTS,ANTHONY ROAD,09,Non-Landed Properties,3,"11,500",190 to 200,"2,000 to 2,100",Sep-25
KENTVIEW PARK,PASIR PANJANG HILL,05,Non-Landed Properties,3,"4,000",110 to 120,"1,200 to 1,300",Sep-25
SEASCAPE,COVE WAY,04,Non-Landed Properties,4,"17,000",310 to 320,"3,300 to 3,400",Sep-25
THE CASCADIA,BUKIT TIMAH ROAD,21,Non-Landed Properties,2,"4,100",80 to 90,800 to 900,Sep-25
THE PARC CONDOMINIUM,WEST COAST WALK,05,Non-Landed Properties,3,"5,800",120 to 130,"1,200 to 1,300",Sep-25
ALBA,CAIRNHILL RISE,09,Non-Landed Properties,3,"9,800",190 to 200,"2,000 to 2,100",Sep-25
SIMSVILLE,GEYLANG EAST AVENUE 2,14,Non-Landed Properties,3,"4,800",110 to 120,"1,200 to 1,300",Sep-25
THE BEAUMONT,DEVONSHIRE ROAD,09,Non-Landed Properties,3,"7,200",200 to 210,"2,200 to 2,300",Sep-25
PATENT PLACE,JALAN RAJAWALI,21,Non-Landed Properties,3,"6,000",160 to 170,"1,700 to 1,800",Sep-25
NIVEN SUITES,WILKIE TERRACE,09,Non-Landed Properties,1,"3,900",80 to 90,800 to 900,Sep-25
MARTIN EDGE,MARTIN ROAD,09,Non-Landed Properties,1,"3,400",50 to 60,500 to 600,Sep-25
# 1 LOFT,LORONG 24 GEYLANG,14,Non-Landed Properties,1,"3,000",50 to 60,500 to 600,Sep-25
KOPAR AT NEWTON,MAKEWAY AVENUE,09,Non-Landed Properties,3,"5,900",80 to 90,"900 to 1,000",Sep-25
PARC OLYMPIA,FLORA DRIVE,17,Non-Landed Properties,2,"3,100",70 to 80,800 to 900,Sep-25
THE HYDE,BALMORAL ROAD,10,Non-Landed Properties,1,"4,600",60 to 70,600 to 700,Sep-25
MELVILLE PARK,SIMEI STREET 1,18,Non-Landed Properties,2,"3,250",80 to 90,"900 to 1,000",Sep-25
THE CALROSE,YIO CHU KANG ROAD,26,Non-Landed Properties,3,"4,600",110 to 120,"1,200 to 1,300",Sep-25
BAYSHORE PARK,BAYSHORE ROAD,16,Non-Landed Properties,2,"3,800",80 to 90,"900 to 1,000",Sep-25
MACKENZIE 138,MACKENZIE ROAD,09,Non-Landed Properties,1,"2,850",40 to 50,400 to 500,Sep-25
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,2,"3,900",50 to 60,600 to 700,Sep-25
VILLA DE WEST,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"5,200",120 to 130,"1,300 to 1,400",Sep-25
RIPPLE BAY,PASIR RIS LINK,18,Non-Landed Properties,2,"3,200",70 to 80,700 to 800,Sep-25
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,2,"4,600",80 to 90,800 to 900,Sep-25
GRANDLINK SQUARE,GUILLEMARD ROAD,14,Non-Landed Properties,3,"4,500",120 to 130,"1,300 to 1,400",Sep-25
CHILTERN PARK,SERANGOON AVENUE 3,19,Non-Landed Properties,3,"5,600",130 to 140,"1,400 to 1,500",Sep-25
WATERFRONT KEY,BEDOK RESERVOIR ROAD,16,Non-Landed Properties,2,"4,200",80 to 90,800 to 900,Sep-25
THE INTERWEAVE,KIM KEAT ROAD,12,Non-Landed Properties,2,"3,300",60 to 70,600 to 700,Sep-25
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,4,"15,100",220 to 230,"2,400 to 2,500",Sep-25
PARKSUITES,HOLLAND GROVE ROAD,10,Non-Landed Properties,3,"7,300",110 to 120,"1,200 to 1,300",Sep-25
THE DAIRY FARM,DAIRY FARM ROAD,23,Non-Landed Properties,3,"5,550",190 to 200,"2,100 to 2,200",Sep-25
URBAN VISTA,TANAH MERAH KECHIL LINK,16,Non-Landed Properties,2,"3,000",50 to 60,600 to 700,Sep-25
LA FLEUR,LORONG 26 GEYLANG,14,Non-Landed Properties,1,"2,500",30 to 40,400 to 500,Sep-25
VILLA MARINA,JALAN SEMPADAN,15,Non-Landed Properties,2,"4,100",100 to 110,"1,100 to 1,200",Sep-25
ASTRID MEADOWS,CORONATION ROAD WEST,10,Non-Landed Properties,NA,"7,400",120 to 130,"1,300 to 1,400",Sep-25
HILLSTA,PHOENIX ROAD,23,Non-Landed Properties,3,"4,350",110 to 120,"1,200 to 1,300",Sep-25
LAKE GRANDE,JURONG LAKE LINK,22,Non-Landed Properties,2,"3,700",60 to 70,700 to 800,Sep-25
SPANISH VILLAGE,FARRER ROAD,10,Non-Landed Properties,2,"4,000",100 to 110,"1,100 to 1,200",Sep-25
FORESQUE RESIDENCES,PETIR ROAD,23,Non-Landed Properties,3,"4,500",110 to 120,"1,200 to 1,300",Sep-25
RIVERGATE,ROBERTSON QUAY,09,Non-Landed Properties,3,"10,880",160 to 170,"1,700 to 1,800",Sep-25
BELLEZZA @ KATONG,CEYLON ROAD,15,Non-Landed Properties,3,"4,000",80 to 90,"900 to 1,000",Sep-25
TANJONG PAGAR COMPLEX,KEPPEL ROAD,02,Non-Landed Properties,2,"8,384",240 to 250,"2,600 to 2,700",Sep-25
THE ALPS RESIDENCES,TAMPINES STREET 86,18,Non-Landed Properties,2,"3,300",60 to 70,600 to 700,Sep-25
UBER 388,UPPER EAST COAST ROAD,16,Non-Landed Properties,3,"5,300",120 to 130,"1,300 to 1,400",Sep-25
THOMSON GRAND,SIN MING WALK,20,Non-Landed Properties,3,"5,700",120 to 130,"1,300 to 1,400",Sep-25
HAIG 162,HAIG ROAD,15,Non-Landed Properties,1,"2,600",30 to 40,300 to 400,Sep-25
EMERALD GARDEN,CLUB STREET,01,Non-Landed Properties,2,"5,100",90 to 100,"900 to 1,000",Sep-25
ATRIUM RESIDENCES,LORONG 28 GEYLANG,14,Non-Landed Properties,3,"4,400",90 to 100,"1,000 to 1,100",Sep-25
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"8,000",140 to 150,"1,500 to 1,600",Sep-25
VARSITY PARK CONDOMINIUM,WEST COAST ROAD,05,Non-Landed Properties,3,"6,000",130 to 140,"1,400 to 1,500",Sep-25
SIGLAP V,FIRST STREET,15,Non-Landed Properties,2,"3,500",60 to 70,600 to 700,Sep-25
LEGENDA AT JOO CHIAT,JOO CHIAT LANE,15,Non-Landed Properties,3,"4,800",130 to 140,"1,400 to 1,500",Sep-25
THE GAZANIA,HOW SUN DRIVE,19,Non-Landed Properties,2,"4,200",60 to 70,600 to 700,Sep-25
THE LENOX,CHANGI ROAD,14,Non-Landed Properties,2,"3,600",70 to 80,700 to 800,Sep-25
YISHUN EMERALD,CANBERRA DRIVE,27,Non-Landed Properties,2,"3,000",90 to 100,"1,000 to 1,100",Sep-25
NATURA@HILLVIEW,HILLVIEW TERRACE,23,Non-Landed Properties,2,"2,850",40 to 50,500 to 600,Sep-25
J GATEWAY,GATEWAY DRIVE,22,Non-Landed Properties,3,"6,800",80 to 90,"900 to 1,000",Sep-25
FOREST WOODS,LORONG LEW LIAN,19,Non-Landed Properties,2,"3,525",50 to 60,600 to 700,Sep-25
RITZ MANSIONS,BALESTIER ROAD,12,Non-Landed Properties,3,"4,100",110 to 120,"1,200 to 1,300",Sep-25
EUHABITAT,JALAN EUNOS,14,Non-Landed Properties,2,"4,100",90 to 100,"1,000 to 1,100",Sep-25
H2O RESIDENCES,FERNVALE LINK,28,Non-Landed Properties,2,"3,100",70 to 80,700 to 800,Sep-25
CHANGI RISE CONDOMINIUM,SIMEI RISE,18,Non-Landed Properties,3,"4,200",110 to 120,"1,200 to 1,300",Sep-25
MORO MANSIONS,LORONG 37 GEYLANG,14,Non-Landed Properties,NA,"4,200",110 to 120,"1,100 to 1,200",Sep-25
THE JOVELL,FLORA DRIVE,17,Non-Landed Properties,2,"3,700",60 to 70,700 to 800,Sep-25
LEEDON GREEN,LEEDON HEIGHTS,10,Non-Landed Properties,2,"4,300",60 to 70,700 to 800,Sep-25
SUITES 28,LORONG 30 GEYLANG,14,Non-Landed Properties,1,"3,000",90 to 100,"1,000 to 1,100",Sep-25
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Sep-25
THE JOVELL,FLORA DRIVE,17,Non-Landed Properties,2,"3,300",60 to 70,700 to 800,Sep-25
JADESCAPE,SHUNFU ROAD,20,Non-Landed Properties,1,"3,900",40 to 50,500 to 600,Sep-25
WATERBANK AT DAKOTA,DAKOTA CRESCENT,14,Non-Landed Properties,3,"6,400",100 to 110,"1,100 to 1,200",Sep-25
THE PROMENADE@PELIKAT,JALAN PELIKAT,19,Non-Landed Properties,1,"2,600",40 to 50,400 to 500,Sep-25
CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"8,600",110 to 120,"1,100 to 1,200",Sep-25
PARC BLEU,JOO CHIAT PLACE,15,Non-Landed Properties,2,"3,200",60 to 70,600 to 700,Sep-25
