Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
LANDED HOUSING DEVELOPMENT,LORONG L TELOK KURAU,15,Terrace House,NA,"5,900",150 to 200,"1,500 to 2,000",Nov-24
LANDED HOUSING DEVELOPMENT,HIGHLAND ROAD,19,Terrace House,NA,"5,000",150 to 200,"1,500 to 2,000",Nov-24
LANDED HOUSING DEVELOPMENT,ROCHALIE DRIVE,10,Detached House,NA,"32,000",500 to 550,"5,500 to 6,000",Nov-24
LANDED HOUSING DEVELOPMENT,JOO CHIAT WALK,15,Terrace House,NA,"6,700",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,NOVENA TERRACE,11,Terrace House,NA,"11,000",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,KIM YAM ROAD,09,Terrace House,NA,"5,500",50 to 100,"1,000 to 1,500",Nov-24
LANDED HOUSING DEVELOPMENT,SERAYA ROAD,15,Terrace House,NA,"9,000",250 to 300,"2,500 to 3,000",Nov-24
LANDED HOUSING DEVELOPMENT,WAK HASSAN PLACE,27,Semi-Detached House,NA,"9,000",300 to 350,"3,500 to 4,000",Nov-24
LANDED HOUSING DEVELOPMENT,THOMSON RIDGE,20,Semi-Detached House,NA,"6,800",250 to 300,"2,500 to 3,000",Nov-24
LANDED HOUSING DEVELOPMENT,JALAN LAYANG LAYANG,21,Detached House,NA,"3,500",150 to 200,"1,500 to 2,000",Nov-24
LANDED HOUSING DEVELOPMENT,KING ALBERT PARK,21,Detached House,NA,"39,000",700 to 750,"7,500 to 8,000",Nov-24
LANDED HOUSING DEVELOPMENT,LORONG 10 GEYLANG/LORONG 4 GEYLANG,14,Terrace House,NA,"5,500",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,GREENWOOD CRESCENT,11,Terrace House,NA,"8,600",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,TAVISTOCK AVENUE,19,Semi-Detached House,NA,"7,000",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,EAN KIAM PLACE,15,Terrace House,NA,"3,300",100 to 150,"1,000 to 1,500",Nov-24
LANDED HOUSING DEVELOPMENT,THAM SOONG AVENUE,21,Terrace House,NA,"8,500",200 to 250,"2,500 to 3,000",Nov-24
LANDED HOUSING DEVELOPMENT,DUKE'S ROAD,10,Semi-Detached House,NA,"12,500",200 to 250,"2,000 to 2,500",Nov-24
LANDED HOUSING DEVELOPMENT,EASTWOOD DRIVE,16,Semi-Detached House,NA,"7,800",300 to 350,"3,500 to 4,000",Nov-24
LANDED HOUSING DEVELOPMENT,EASTWOOD PLACE,16,Terrace House,NA,"10,000",250 to 300,"2,500 to 3,000",Nov-24
LANDED HOUSING DEVELOPMENT,EAN KIAM PLACE,15,Terrace House,NA,"3,135",50 to 100,"500 to 1,000",Nov-24
LANDED HOUSING DEVELOPMENT,LENGKONG LIMA,14,Semi-Detached House,NA,"9,500",250 to 300,"2,500 to 3,000",Nov-24
LANDED HOUSING DEVELOPMENT,LANGE ROAD,19,Terrace House,NA,"3,700",100 to 150,"1,000 to 1,500",Nov-24
LANDED HOUSING DEVELOPMENT,LORONG 16 GEYLANG,14,Terrace House,NA,"5,000",350 to 400,"4,000 to 4,500",Nov-24
DEDAP GARDENS,DEDAP PLACE,28,Semi-Detached House,NA,"6,200",250 to 300,"3,000 to 3,500",Nov-24
OPERA ESTATE,DAFNE STREET,15,Terrace House,NA,"3,300",50 to 100,"500 to 1,000",Nov-24
CHANCERY GROVE,CHANCERY LANE,11,Terrace House,NA,"6,600",150 to 200,"1,500 to 2,000",Nov-24
SUMMER PLACE,SUMMER PLACE,19,Terrace House,NA,"6,400",200 to 250,"2,000 to 2,500",Nov-24
WESTWOOD PARK,WESTWOOD DRIVE,22,Terrace House,NA,"5,000",150 to 200,"2,000 to 2,500",Nov-24
BEDOK PARK,LIMAU GARDEN,16,Terrace House,NA,"2,700",150 to 200,"2,000 to 2,500",Nov-24
PLEASANT HILL LODGE,PASIR PANJANG HILL,05,Terrace House,NA,"6,500",200 to 250,"2,000 to 2,500",Nov-24
SERANGOON GARDEN ESTATE,CARDIFF GROVE,19,Terrace House,NA,"5,800",100 to 150,"1,000 to 1,500",Nov-24
SAVOY PARK,ENG KONG DRIVE,21,Terrace House,NA,"6,000",200 to 250,"2,000 to 2,500",Nov-24
CASHEW VILLAS,CASHEW CRESCENT,23,Terrace House,NA,"5,380",200 to 250,"2,000 to 2,500",Nov-24
HORIZON GARDENS,ANG MO KIO AVENUE 2,20,Terrace House,NA,"6,500",250 to 300,"2,500 to 3,000",Nov-24
SERANGOON GARDEN ESTATE,CARISBROOKE GROVE,19,Semi-Detached House,NA,"5,800",100 to 150,"1,000 to 1,500",Nov-24
D'MANOR,TANAH MERAH KECHIL AVENUE,16,Terrace House,NA,"6,400",250 to 300,"2,500 to 3,000",Nov-24
CORONATION VILLE,CORONATION ROAD,10,Detached House,NA,"9,000",300 to 350,"3,000 to 3,500",Nov-24
FERNHILL GROVE,FERNHILL ROAD,10,Terrace House,NA,"7,500",150 to 200,"2,000 to 2,500",Nov-24
LA SUISSE,SWISS VIEW,11,Terrace House,NA,"8,800",200 to 250,"2,000 to 2,500",Nov-24
SEMBAWANG SPRINGS ESTATE,JALAN SHAER,27,Semi-Detached House,NA,"9,000",300 to 350,"3,500 to 4,000",Nov-24
LLYN GARDENS,PAYA LEBAR WALK,19,Terrace House,NA,"4,800",150 to 200,"1,500 to 2,000",Nov-24
TAI YUAN GARDEN,TAI YUAN HEIGHTS,19,Semi-Detached House,NA,"9,000",300 to 350,"3,000 to 3,500",Nov-24
CLOVER PARK,CLOVER WAY,20,Terrace House,NA,"5,500",150 to 200,"1,500 to 2,000",Nov-24
SERANGOON GARDEN ESTATE,HEMSLEY AVENUE,19,Terrace House,NA,"9,500",200 to 250,"2,000 to 2,500",Nov-24
GOLDLEAF GARDENS,LORONG M TELOK KURAU,15,Terrace House,NA,"4,980",150 to 200,"2,000 to 2,500",Nov-24
BRADDELL HEIGHTS ESTATE,MACKERROW ROAD,13,Semi-Detached House,NA,"10,500",200 to 250,"2,000 to 2,500",Nov-24
CHENG SOON GARDEN,CHENG SOON CRESCENT,21,Semi-Detached House,NA,"6,900",350 to 400,"4,000 to 4,500",Nov-24
CAMDEN PARK,CAMDEN PARK,11,Detached House,NA,"19,200",350 to 400,"4,000 to 4,500",Nov-24
GOLDEN HILL ESTATE,LI HWAN TERRACE,19,Terrace House,NA,"3,400",100 to 150,"1,500 to 2,000",Nov-24
THE GREEN COLLECTION,COVE DRIVE,04,Terrace House,NA,"20,000",300 to 350,"3,500 to 4,000",Nov-24
LOTUS AT BARKER,BARKER ROAD,11,Terrace House,NA,"12,505",200 to 250,"2,000 to 2,500",Nov-24
LIMAU VILLAS,LIMAU TERRACE,16,Terrace House,NA,"6,000",200 to 250,"2,000 to 2,500",Nov-24
BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,02,Terrace House,NA,"9,000",200 to 250,"2,500 to 3,000",Nov-24
VENTANA VILLAS,PASIR PANJANG HILL,05,Terrace House,NA,"11,000",200 to 250,"2,000 to 2,500",Nov-24
SERANGOON GARDEN ESTATE,PORTCHESTER AVENUE,19,Terrace House,NA,"6,600",100 to 150,"1,500 to 2,000",Nov-24
MANDARIN PARK,LORONG PISANG EMAS,21,Semi-Detached House,NA,"6,000",150 to 200,"1,500 to 2,000",Nov-24
THOMSON VIEW CONDOMINIUM,BRIGHT HILL DRIVE,20,Terrace House,NA,"4,500",250 to 300,"2,500 to 3,000",Nov-24
MACPHERSON GARDEN ESTATE,JALAN MULIA,13,Terrace House,NA,"4,000",50 to 100,"1,000 to 1,500",Nov-24
WESTLAKE GARDENS,WESTLAKE AVENUE,20,Semi-Detached House,NA,"5,500",200 to 250,"2,000 to 2,500",Nov-24
KEMBANGAN VILLAS,LENGKONG TIGA,14,Terrace House,NA,"9,800",250 to 300,"2,500 to 3,000",Nov-24
BIN TONG PARK,BIN TONG PARK,10,Detached House,NA,"22,000",550 to 600,"6,000 to 6,500",Nov-24
KING'S GARDEN,KING'S ROAD,10,Detached House,NA,"13,500",250 to 300,"3,000 to 3,500",Nov-24
MCMAHON PARK,JALAN TENANG,10,Semi-Detached House,NA,"17,400",400 to 450,"4,500 to 5,000",Nov-24
SERANGOON GARDEN ESTATE,BROCKHAMPTON DRIVE,19,Terrace House,NA,"2,100",50 to 100,"500 to 1,000",Nov-24
SEMBAWANG HILLS ESTATE,NEMESU AVENUE,20,Terrace House,NA,"5,700",100 to 150,"1,000 to 1,500",Nov-24
GOLDEN HILL ESTATE,MEI HWAN DRIVE,20,Terrace House,NA,"3,600",150 to 200,"2,000 to 2,500",Nov-24
BEDOKVILLE,JALAN LIMAU NIPIS,16,Semi-Detached House,NA,"7,500",250 to 300,"2,500 to 3,000",Nov-24
TOH ESTATE,TOH CLOSE,17,Detached House,NA,"7,000",200 to 250,"2,500 to 3,000",Nov-24
REBECCA PARK,REBECCA ROAD,10,Detached House,NA,"12,500",250 to 300,"2,500 to 3,000",Nov-24
SPRING PARK ESTATE,JALAN KUPANG,16,Semi-Detached House,NA,"7,000",200 to 250,"2,000 to 2,500",Nov-24
LOYANG GROVE,JALAN LOYANG BESAR,17,Semi-Detached House,NA,"6,300",200 to 250,"2,000 to 2,500",Nov-24
SERANGOON GARDEN ESTATE,PENSHURST PLACE,19,Terrace House,NA,"5,000",100 to 150,"1,000 to 1,500",Nov-24
SERANGOON PARK,JALAN RIANG,13,Terrace House,NA,"3,850",100 to 150,"1,000 to 1,500",Nov-24
WEST COAST GARDENS,WEST COAST RISE,05,Semi-Detached House,NA,"9,000",200 to 250,"2,000 to 2,500",Nov-24
BINJAI PARK,BINJAI WALK,21,Detached House,NA,"16,500",350 to 400,"4,000 to 4,500",Nov-24
FRANKEL ESTATE,GREENFIELD DRIVE,15,Semi-Detached House,NA,"8,000",400 to 450,"4,000 to 4,500",Nov-24
GALLOP PARK,GALLOP ROAD,10,Detached House,NA,"23,000",500 to 550,"5,000 to 5,500",Nov-24
YEW LIAN PARK,TAMAN PERMATA,20,Terrace House,NA,"5,800",150 to 200,"1,500 to 2,000",Nov-24
DUNEARN ESTATE,CAMBORNE ROAD,11,Detached House,NA,"24,000",450 to 500,"5,000 to 5,500",Nov-24
KEW VALE,KEW CRESCENT,16,Terrace House,NA,"7,000",250 to 300,"2,500 to 3,000",Nov-24
MANDAI GARDEN,MENG SUAN ROAD,26,Semi-Detached House,NA,"3,500",250 to 300,"2,500 to 3,000",Nov-24
WEST SHORE RESIDENCES,PASIR PANJANG ROAD,05,Terrace House,NA,"7,300",300 to 350,"3,000 to 3,500",Nov-24
FABER HILLS,FABER PARK,05,Detached House,NA,"12,000",250 to 300,"3,000 to 3,500",Nov-24
MAYFLOWER GARDENS,MAYFLOWER ROAD,20,Terrace House,NA,"9,500",200 to 250,"2,000 to 2,500",Nov-24
BLAIR PLAIN CONSERVATION AREA,EVERTON ROAD/SPOTTISWOODE PARK ROAD,02,Terrace House,NA,"7,200",250 to 300,"2,500 to 3,000",Nov-24
CHENG SOON GARDEN,KISMIS AVENUE,21,Terrace House,NA,"11,000",350 to 400,"3,500 to 4,000",Nov-24
HILLVIEW COURT,JALAN DERMAWAN,23,Terrace House,NA,"4,000",150 to 200,"1,500 to 2,000",Nov-24
GREENBANK PARK,GREENBANK PARK,21,Semi-Detached House,NA,"10,000",300 to 350,"3,000 to 3,500",Nov-24
OPERA ESTATE,AIDA STREET,15,Semi-Detached House,NA,"8,000",250 to 300,"2,500 to 3,000",Nov-24
SERANGOON GARDEN ESTATE,HYTHE ROAD,19,Terrace House,NA,"4,500",100 to 150,"1,500 to 2,000",Nov-24
CABANA,SUNRISE TERRACE,28,Terrace House,NA,"6,810",250 to 300,"3,000 to 3,500",Nov-24
HIGHLAND COTTAGES,HIGHLAND WALK,19,Semi-Detached House,NA,"7,800",200 to 250,"2,500 to 3,000",Nov-24
SEMBAWANG HILLS ESTATE,JALAN BATAI,20,Terrace House,NA,"3,500",50 to 100,"500 to 1,000",Nov-24
WATTEN ESTATE,WATTEN HEIGHTS,11,Detached House,NA,"12,000",300 to 350,"3,500 to 4,000",Nov-24
GPL TERRACE,PUAY HEE AVENUE,13,Terrace House,NA,"6,200",300 to 350,"3,000 to 3,500",Nov-24
SEMBAWANG HILLS ESTATE,NEMESU AVENUE,20,Terrace House,NA,"4,500",100 to 150,"1,000 to 1,500",Nov-24
BLAIR PLAIN CONSERVATION AREA,EVERTON ROAD/SPOTTISWOODE PARK ROAD,02,Terrace House,NA,"9,500",150 to 200,"2,000 to 2,500",Nov-24
EMERALD HILL CONSERVATION AREA,SAUNDERS ROAD,09,Terrace House,NA,"15,000",350 to 400,"4,000 to 4,500",Nov-24
SOO CHOW GARDEN,SOO CHOW GARDEN ROAD,20,Terrace House,NA,"3,300",200 to 250,"2,000 to 2,500",Nov-24
TECK GUAN VILLE,UPPER EAST COAST ROAD,16,Terrace House,NA,"4,300",200 to 250,"2,000 to 2,500",Nov-24
SENNETT ESTATE,BUTTERFLY AVENUE,13,Terrace House,NA,"6,000",150 to 200,"1,500 to 2,000",Nov-24
TOWNER VILLE,TOWNER ROAD,12,Terrace House,NA,"5,300",100 to 150,"1,500 to 2,000",Oct-24
CHANCERY GROVE,CHANCERY LANE,11,Terrace House,NA,"6,900",150 to 200,"1,500 to 2,000",Oct-24
LANDED HOUSING DEVELOPMENT,EAST COAST ROAD,15,Terrace House,NA,"3,600",50 to 100,"500 to 1,000",Oct-24
LANDED HOUSING DEVELOPMENT,SEA BREEZE WALK,16,Terrace House,NA,"5,200",150 to 200,"1,500 to 2,000",Oct-24
ASIMONT VILLAS,ASIMONT LANE,11,Terrace House,NA,"12,000",300 to 350,"3,500 to 4,000",Oct-24
LANDED HOUSING DEVELOPMENT,WOODGROVE AVENUE,25,Detached House,NA,"13,500",350 to 400,"3,500 to 4,000",Oct-24
LANDED HOUSING DEVELOPMENT,JALAN LIM TAI SEE,10,Terrace House,NA,"7,500",200 to 250,"2,000 to 2,500",Oct-24
LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,15,Terrace House,NA,"5,300",100 to 150,"1,000 to 1,500",Oct-24
MANDARIN PARK,LORONG PISANG EMAS,21,Semi-Detached House,NA,"7,100",250 to 300,"2,500 to 3,000",Oct-24
SUMMER GARDENS,UPPER CHANGI ROAD EAST,16,Terrace House,NA,"6,500",200 to 250,"2,000 to 2,500",Oct-24
HELICONA LODGE,JALAN HAJI SALAM,16,Terrace House,NA,"6,736",150 to 200,"1,500 to 2,000",Oct-24
GOLDEN HILL ESTATE,LI HWAN DRIVE,19,Terrace House,NA,"5,200",150 to 200,"1,500 to 2,000",Oct-24
BANYAN VILLAS,LENTOR PLAIN,26,Terrace House,NA,"6,500",200 to 250,"2,000 to 2,500",Oct-24
CABANA,SUNRISE TERRACE,28,Terrace House,NA,"7,000",250 to 300,"3,000 to 3,500",Oct-24
TOWNER VILLE,TOWNER ROAD,12,Terrace House,NA,"5,300",100 to 150,"1,500 to 2,000",Oct-24
LANDED HOUSING DEVELOPMENT,LUXUS HILL AVENUE,28,Terrace House,NA,"7,800",150 to 200,"2,000 to 2,500",Oct-24
DALLA VALE,SPRINGLEAF AVENUE,26,Semi-Detached House,NA,"6,900",250 to 300,"3,000 to 3,500",Oct-24
LANDED HOUSING DEVELOPMENT,JALAN KEMBANGAN,14,Terrace House,NA,"9,800",250 to 300,"3,000 to 3,500",Oct-24
LANDED HOUSING DEVELOPMENT,MARLENE AVENUE,19,Semi-Detached House,NA,"14,500",350 to 400,"4,000 to 4,500",Oct-24
VILLAS @ GILSTEAD,GILSTEAD ROAD,11,Semi-Detached House,NA,"8,200",600 to 650,"6,500 to 7,000",Oct-24
CHANCERY GROVE,CHANCERY LANE,11,Terrace House,NA,"7,600",200 to 250,"2,000 to 2,500",Oct-24
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Semi-Detached House,NA,"8,500",150 to 200,"1,500 to 2,000",Oct-24
PONGGOL PARK,PONGGOL SEVENTEENTH AVENUE,19,Detached House,NA,"9,000",100 to 150,"1,500 to 2,000",Oct-24
LANDED HOUSING DEVELOPMENT,THIRD STREET,15,Detached House,NA,"8,000",250 to 300,"2,500 to 3,000",Oct-24
LANDED HOUSING DEVELOPMENT,LEITH ROAD,19,Semi-Detached House,NA,"8,500",250 to 300,"2,500 to 3,000",Oct-24
LANDED HOUSING DEVELOPMENT,CORONATION ROAD WEST,10,Detached House,NA,"11,500",250 to 300,"3,000 to 3,500",Oct-24
LANDED HOUSING DEVELOPMENT,SIGLAP ROAD,15,Semi-Detached House,NA,"6,000",150 to 200,"1,500 to 2,000",Oct-24
SANNY PARK,MERRYN AVENUE,11,Terrace House,NA,"11,800",150 to 200,"1,500 to 2,000",Oct-24
WATTEN ESTATE,WATTEN CLOSE,11,Semi-Detached House,NA,"16,000",350 to 400,"3,500 to 4,000",Oct-24
BRENTWOOD,LLOYD ROAD,09,Terrace House,NA,"11,000",150 to 200,"2,000 to 2,500",Oct-24
SEMBAWANG SPRINGS ESTATE,JALAN MALU-MALU,27,Semi-Detached House,NA,"9,200",250 to 300,"2,500 to 3,000",Oct-24
LANDED HOUSING DEVELOPMENT,KEW AVENUE,16,Terrace House,NA,"7,400",250 to 300,"2,500 to 3,000",Oct-24
SERANGOON GARDEN ESTATE,MEDWAY DRIVE,19,Terrace House,NA,"9,000",300 to 350,"3,000 to 3,500",Oct-24
CATHAY GARDEN,KERIS DRIVE,15,Terrace House,NA,"6,700",150 to 200,"1,500 to 2,000",Oct-24
LANDED HOUSING DEVELOPMENT,CHANCERY LANE,11,Terrace House,NA,"15,000",200 to 250,"2,000 to 2,500",Oct-24
LANDED HOUSING DEVELOPMENT,JALAN ARIF,19,Terrace House,NA,"6,750",250 to 300,"3,000 to 3,500",Oct-24
LANDED HOUSING DEVELOPMENT,NAMLY PLACE,10,Detached House,NA,"11,800",300 to 350,"3,500 to 4,000",Oct-24
LANDED HOUSING DEVELOPMENT,JALAN LOKAM,19,Semi-Detached House,NA,"7,388",200 to 250,"2,500 to 3,000",Oct-24
LANDED HOUSING DEVELOPMENT,BOON TECK ROAD,12,Terrace House,NA,"4,300",100 to 150,"1,000 to 1,500",Oct-24
TECK HIANG GARDENS,TOH TUCK CRESCENT,21,Semi-Detached House,NA,"5,900",200 to 250,"2,000 to 2,500",Oct-24
LANDED HOUSING DEVELOPMENT,BARKER ROAD,11,Terrace House,NA,"9,350",150 to 200,"1,500 to 2,000",Oct-24
LANDED HOUSING DEVELOPMENT,BLOXHOME DRIVE,19,Semi-Detached House,NA,"12,500",250 to 300,"3,000 to 3,500",Oct-24
LANDED HOUSING DEVELOPMENT,JALAN JELITA,10,Semi-Detached House,NA,"13,000",250 to 300,"2,500 to 3,000",Oct-24
LANDED HOUSING DEVELOPMENT,BEDOK TERRACE,16,Terrace House,NA,"6,900",100 to 150,"1,500 to 2,000",Oct-24
PICARDY GARDENS,JALAN PARI BURONG,16,Semi-Detached House,NA,"5,800",150 to 200,"2,000 to 2,500",Oct-24
SERANGOON GARDEN ESTATE,COLCHESTER GROVE,19,Terrace House,NA,"5,700",100 to 150,"1,000 to 1,500",Oct-24
MERA TERRACE,SEAGULL WALK,16,Terrace House,NA,"7,100",200 to 250,"2,000 to 2,500",Oct-24
CABANA,SUNRISE TERRACE,28,Terrace House,NA,"6,800",250 to 300,"2,500 to 3,000",Oct-24
OXLEY NEO RESIDENCES,OXLEY ROAD,09,Semi-Detached House,NA,"18,000",250 to 300,"3,000 to 3,500",Oct-24
LANDED HOUSING DEVELOPMENT,BURGHLEY DRIVE,19,Semi-Detached House,NA,"10,100",250 to 300,"2,500 to 3,000",Oct-24
LANDED HOUSING DEVELOPMENT,SPRINGLEAF ROAD,26,Semi-Detached House,NA,"9,000",200 to 250,"2,000 to 2,500",Oct-24
TOWNER VILLE,MAY ROAD,12,Terrace House,NA,"6,000",100 to 150,"1,500 to 2,000",Oct-24
EASTERN GROVE,JALAN LIMAU MANIS,16,Terrace House,NA,"6,700",200 to 250,"2,500 to 3,000",Oct-24
EASTWOOD PARK,EASTWOOD GREEN,16,Terrace House,NA,"7,200",200 to 250,"2,500 to 3,000",Oct-24
YONG AN PARK,RIVER VALLEY ROAD,09,Terrace House,NA,"21,000",500 to 550,"5,500 to 6,000",Oct-24
CLOVER PARK,CLOVER WAY,20,Terrace House,NA,"5,200",100 to 150,"1,500 to 2,000",Oct-24
SENNETT ESTATE,SIANG KUANG AVENUE,13,Terrace House,NA,"4,800",100 to 150,"1,500 to 2,000",Oct-24
SERANGOON GARDEN ESTATE,CRICHTON CLOSE,19,Semi-Detached House,NA,"9,200",150 to 200,"2,000 to 2,500",Oct-24
LANDED HOUSING DEVELOPMENT,JALAN ELOK,09,Terrace House,NA,"6,200",150 to 200,"1,500 to 2,000",Oct-24
LANDED HOUSING DEVELOPMENT,CONWAY GROVE,19,Semi-Detached House,NA,"7,600",150 to 200,"2,000 to 2,500",Oct-24
LANDED HOUSING DEVELOPMENT,PASIR RIS HEIGHTS,18,Terrace House,NA,"5,500",200 to 250,"2,500 to 3,000",Oct-24
DALLA VALE,SPRINGLEAF AVENUE,26,Semi-Detached House,NA,"6,600",250 to 300,"3,000 to 3,500",Oct-24
SEASIDE PARK,JALAN BULOH PERINDU,15,Terrace House,NA,"5,400",100 to 150,"1,500 to 2,000",Oct-24
SPRINGHILL TERRACE,SUNRISE AVENUE,28,Terrace House,NA,"5,400",200 to 250,"2,000 to 2,500",Oct-24
SERANGOON GARDEN ESTATE,COLCHESTER GROVE,19,Terrace House,NA,"5,300",150 to 200,"1,500 to 2,000",Oct-24
SENNETT ESTATE,JALAN WANGI,13,Terrace House,NA,"5,500",100 to 150,"1,000 to 1,500",Oct-24
HILLSTA,PHOENIX ROAD,23,Terrace House,NA,"6,000",250 to 300,"3,000 to 3,500",Oct-24
LANDED HOUSING DEVELOPMENT,ENG KONG GARDEN,21,Semi-Detached House,NA,"11,000",400 to 450,"4,000 to 4,500",Oct-24
LANDED HOUSING DEVELOPMENT,JALAN JAMBU AYER,21,Semi-Detached House,NA,"12,000",300 to 350,"3,000 to 3,500",Oct-24
OPERA ESTATE,AIDA STREET,15,Detached House,NA,"11,000",250 to 300,"2,500 to 3,000",Oct-24
GREENWOOD MEWS,GREENWOOD AVENUE,11,Terrace House,NA,"11,500",250 to 300,"2,500 to 3,000",Oct-24
STRATTON PARK,STRATTON PLACE,28,Terrace House,NA,"5,200",150 to 200,"1,500 to 2,000",Oct-24
YUNNAN GARDENS,YUNNAN ROAD,22,Terrace House,NA,"6,850",250 to 300,"2,500 to 3,000",Oct-24
LANDED HOUSING DEVELOPMENT,BRIGHT HILL CRESCENT,20,Semi-Detached House,NA,"7,275",200 to 250,"2,500 to 3,000",Oct-24
LANDED HOUSING DEVELOPMENT,MUSWELL HILL,13,Detached House,NA,"26,000",550 to 600,"5,500 to 6,000",Oct-24
LANDED HOUSING DEVELOPMENT,GREENBANK PARK,21,Semi-Detached House,NA,"8,500",250 to 300,"3,000 to 3,500",Oct-24
LANDED HOUSING DEVELOPMENT,WOODGROVE AVENUE,25,Terrace House,NA,"9,801",350 to 400,"4,000 to 4,500",Oct-24
LANDED HOUSING DEVELOPMENT,PARBURY AVENUE,16,Terrace House,NA,"5,900",150 to 200,"1,500 to 2,000",Oct-24
MOUNT SINAI,MOUNT SINAI AVENUE,10,Semi-Detached House,NA,"10,000",300 to 350,"3,500 to 4,000",Oct-24
ORCHID VILLAGE,VANDA ROAD,11,Semi-Detached House,NA,"9,000",250 to 300,"2,500 to 3,000",Oct-24
TOWNER VILLE,MCNAIR ROAD,12,Terrace House,NA,"7,400",200 to 250,"2,000 to 2,500",Oct-24
SERANGOON GARDEN ESTATE,HUDDINGTON AVENUE,19,Terrace House,NA,"6,500",100 to 150,"1,500 to 2,000",Oct-24
THOMSON RISE ESTATE,JALAN BERJAYA,20,Detached House,NA,"10,000",150 to 200,"2,000 to 2,500",Oct-24
SUNRISE VILLA,SUNRISE DRIVE,28,Terrace House,NA,"4,700",150 to 200,"1,500 to 2,000",Oct-24
LANDED HOUSING DEVELOPMENT,CABLE ROAD,10,Detached House,NA,"60,000",750 to 800,"8,000 to 8,500",Oct-24
LANDED HOUSING DEVELOPMENT,LORONG 110 CHANGI,15,Terrace House,NA,"7,100",200 to 250,"2,000 to 2,500",Oct-24
LANDED HOUSING DEVELOPMENT,NIVEN ROAD,09,Terrace House,NA,"5,800",100 to 150,"1,000 to 1,500",Oct-24
LANDED HOUSING DEVELOPMENT,CHANCERY LANE,11,Detached House,NA,"22,000",550 to 600,"5,500 to 6,000",Oct-24
LANDED HOUSING DEVELOPMENT,WOODGROVE AVENUE,25,Detached House,NA,"13,500",350 to 400,"3,500 to 4,000",Oct-24
LANDED HOUSING DEVELOPMENT,JOO CHIAT TERRACE,15,Terrace House,NA,"5,750",100 to 150,"1,000 to 1,500",Oct-24
GREENWOOD MEWS,GREENWOOD AVENUE,11,Terrace House,NA,"10,200",250 to 300,"2,500 to 3,000",Oct-24
THE MONDRIAN,HINDHEDE PLACE,21,Semi-Detached House,NA,"9,500",200 to 250,"2,000 to 2,500",Oct-24
SENNETT ESTATE,MACPHERSON ROAD,13,Terrace House,NA,"4,600",150 to 200,"1,500 to 2,000",Oct-24
BRADDELL HEIGHTS ESTATE,MACKERROW ROAD,13,Semi-Detached House,NA,"11,000",200 to 250,"2,000 to 2,500",Oct-24
GPL TERRACE,KWONG AVENUE,13,Terrace House,NA,"5,800",200 to 250,"2,000 to 2,500",Oct-24
BAROSSA GARDENS,PASIR PANJANG ROAD,05,Terrace House,NA,"7,500",100 to 150,"1,500 to 2,000",Oct-24
LANDED HOUSING DEVELOPMENT,GARLICK AVENUE,10,Detached House,NA,"22,000",700 to 750,"7,500 to 8,000",Oct-24
LANDED HOUSING DEVELOPMENT,EWART PARK,10,Detached House,NA,"39,000",750 to 800,"8,000 to 8,500",Oct-24
LANDED HOUSING DEVELOPMENT,GLADIOLA DRIVE,20,Semi-Detached House,NA,"8,388",200 to 250,"2,500 to 3,000",Oct-24
LANDED HOUSING DEVELOPMENT,WAK HASSAN DRIVE,27,Terrace House,NA,"9,800",550 to 600,"6,000 to 6,500",Oct-24
LANDED HOUSING DEVELOPMENT,HOLLAND GROVE WALK,10,Detached House,NA,"22,000",350 to 400,"3,500 to 4,000",Oct-24
LANDED HOUSING DEVELOPMENT,KUO CHUAN AVENUE,15,Semi-Detached House,NA,"5,244",100 to 150,"1,000 to 1,500",Oct-24
LANDED HOUSING DEVELOPMENT,LENGKONG EMPAT,14,Semi-Detached House,NA,"7,500",350 to 400,"3,500 to 4,000",Oct-24
LANDED HOUSING DEVELOPMENT,JALAN SENTOSA,14,Detached House,NA,"8,650",250 to 300,"3,000 to 3,500",Oct-24
LANDED HOUSING DEVELOPMENT,GREENWOOD AVENUE,11,Semi-Detached House,NA,"13,000",300 to 350,"3,000 to 3,500",Oct-24
LANDED HOUSING DEVELOPMENT,HOW SUN AVENUE,19,Terrace House,NA,"4,400",100 to 150,"1,500 to 2,000",Oct-24
LANDED HOUSING DEVELOPMENT,BRANKSOME ROAD,15,Detached House,NA,"13,500",400 to 450,"4,000 to 4,500",Oct-24
LANDED HOUSING DEVELOPMENT,TU FU AVENUE,26,Terrace House,NA,"6,400",150 to 200,"1,500 to 2,000",Oct-24
LANDED HOUSING DEVELOPMENT,SIGLAP ROAD,15,Terrace House,NA,"6,600",200 to 250,"2,000 to 2,500",Oct-24
